session_id,session_type,speaker,input_text,emotion,conflict_type,response_type,privacy_level,ai_response,input_output
BM00506,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00507,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00508,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00509,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00510,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00511,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00512,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00513,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00514,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00515,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00516,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00517,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00518,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00519,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00520,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00521,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00522,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00523,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00524,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00525,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00526,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00527,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00528,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00529,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00530,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00531,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00532,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00533,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00534,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00535,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00536,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00537,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00538,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00539,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00540,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00541,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00542,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00543,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00544,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00545,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00546,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00547,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00548,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00549,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00550,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00551,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00552,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00553,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00554,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00555,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00556,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00557,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00558,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00559,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00560,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00561,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00562,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00563,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00564,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00565,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00566,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00567,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00568,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00569,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00570,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00571,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00572,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00573,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00574,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00575,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00576,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00577,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00578,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00579,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00580,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00581,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00582,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00583,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00584,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00585,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00586,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00587,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00588,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00589,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00590,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00591,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00592,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00593,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00594,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00595,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00596,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00597,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00598,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00599,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Take a short pause and use slow breathing before continuing.,Input: Arguments make me anxious. || Output: Take a short pause and use slow breathing before continuing.
BM00600,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Keep the rule simple: one speaks, one listens, then summarize.","Input: We will listen without interrupting. || Output: Keep the rule simple: one speaks, one listens, then summarize."
BM00601,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00602,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00603,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00604,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00605,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00606,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00607,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00608,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
BM00609,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00610,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00611,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00612,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,This pattern suggests tension. Try choosing a calmer time to talk.,Input: He gets defensive and I stop sharing. || Output: This pattern suggests tension. Try choosing a calmer time to talk.
BM00613,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,Slow the discussion and let each person speak fully before responding.,Input: We keep arguing about the same issue. || Output: Slow the discussion and let each person speak fully before responding.
BM00614,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,Recognize your part and plan how to manage stress before conversations.,Input: Work stress made me speak harshly. || Output: Recognize your part and plan how to manage stress before conversations.
BM00615,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Your concern is understandable. Ask for regular check-ins on decisions.,Input: I feel excluded from important decisions. || Output: Your concern is understandable. Ask for regular check-ins on decisions.
BM00616,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00617,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00618,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00619,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00620,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00621,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,It sounds like you feel unheard. Try expressing your needs calmly and clearly.,Input: I feel she does not listen when I try to explain. || Output: It sounds like you feel unheard. Try expressing your needs calmly and clearly.
BM00622,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00623,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00624,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00625,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00626,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Build on this by checking in regularly and keeping respect.,Input: We want to communicate better. || Output: Build on this by checking in regularly and keeping respect.
BM00627,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Plan a calm activity together to rebuild connection.,Input: I miss how we used to talk calmly. || Output: Plan a calm activity together to rebuild connection.
BM00628,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Use turn-taking to make the conversation fair.,Input: One of us dominates the conversation. || Output: Use turn-taking to make the conversation fair.
BM00629,personal,wife,Arguments make me anxious.,anxiety,anger escalation,calming strategy,personal,Ask for a break if the tone escalates.,Input: Arguments make me anxious. || Output: Ask for a break if the tone escalates.
BM00630,couple,both,We will listen without interrupting.,calm,argument control,action plan,shared,"Use a small, clear plan and follow it consistently.","Input: We will listen without interrupting. || Output: Use a small, clear plan and follow it consistently."
BM00631,personal,husband,I feel she does not listen when I try to explain.,sadness,communication gap,empathy,personal,Feeling ignored can hurt. Ask for a calm moment and state one specific need.,Input: I feel she does not listen when I try to explain. || Output: Feeling ignored can hurt. Ask for a calm moment and state one specific need.
BM00632,personal,wife,He gets defensive and I stop sharing.,frustration,defensive behavior,reflection,personal,You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.,Input: He gets defensive and I stop sharing. || Output: You are noticing a pattern that blocks sharing. Pause and reset the tone before continuing.
BM00633,couple,both,We keep arguing about the same issue.,frustration,recurring conflict,de-escalation,shared,This seems repeated. Focus on one issue and avoid past topics for now.,Input: We keep arguing about the same issue. || Output: This seems repeated. Focus on one issue and avoid past topics for now.
BM00634,personal,husband,Work stress made me speak harshly.,guilt,stress spillover,accountability coaching,personal,"Acknowledge the tone, apologize, and commit to a calmer response next time.","Input: Work stress made me speak harshly. || Output: Acknowledge the tone, apologize, and commit to a calmer response next time."
BM00635,personal,wife,I feel excluded from important decisions.,hurt,trust issue,validation,personal,Feeling excluded is valid. Explain why shared decisions matter to you.,Input: I feel excluded from important decisions. || Output: Feeling excluded is valid. Explain why shared decisions matter to you.
BM00636,couple,both,We want to communicate better.,hope,none,positive reinforcement,shared,Great goal. Practice active listening and end with one action step.,Input: We want to communicate better. || Output: Great goal. Practice active listening and end with one action step.
BM00637,personal,husband,I miss how we used to talk calmly.,nostalgia,relationship distance,bonding suggestion,personal,Share a positive memory to reopen safe communication.,Input: I miss how we used to talk calmly. || Output: Share a positive memory to reopen safe communication.
BM00638,couple,both,One of us dominates the conversation.,frustration,communication imbalance,pattern reflection,shared,Balance speaking time and reflect what you heard before replying.,Input: One of us dominates the conversation. || Output: Balance speaking time and reflect what you heard before replying.
